Ambulance Service Coverage Area,Reporting Year,Population Estimate,Land Area (km2),Population Density (Per km2),Average Response Time
Middlesex,2021,509276,3295,153.2,6 min 52 sec
Muskoka,2021,66320,3938,16.8,10 min 12 sec
Naotkamegwanning First Nations (Whitefish Bay),2021,609,19,32.2,9 min 30 sec
Niagara,2021,481727,1854,258.4,6 min 18 sec
Nipissing,2021,86734,17104,5.1,8 min 48 sec
Norfolk,2021,70028,1608,42.9,8 min 48 sec
Northumberland,2021,90270,1905,47.3,9 min 27 sec
Oneida Nation of the Thames,2021,1333,22,59.5,8 min 16 sec
Ottawa,2021,1043130,2790,368.6,8 min 45 sec
Oxford,2021,122477,2040,59.1,7 min 12 sec
Parry Sound,2021,44769,9323,4.8,13 min 39 sec
Peel,2021,1563641,1247,1236.7,8 min 9 sec
Perth,2021,83260,2218,37,7 min 27 sec
Peterborough,2021,148100,3848,38.4,8 min 37 sec
Prescott and Russell,2021,96753,2004,47.4,9 min 40 sec
Prince Edward,2021,25841,1050,24.2,13 min 1 sec
Rainy River ,2021,20754,15485,1.4,15 min 3 sec
Renfrew,2021,107265,7441,14.3,11 min 19 sec
Sault Ste. Marie,2021,75903,223,335.9,6 min 59 sec
Simcoe,2021,536597,4796,109.8,8 min 53 sec
Six Nations of the Grand River,2021,7020,188,36.8,10 min 54 sec
Sudbury,2021,169047,3238,52.2,7 min 5 sec
District of Thunder Bay,2021,151419,103720,1.5,9 min 50 sec
Timiskaming (Urban),2021,33056,13300,2.5,9 min 47 sec
Toronto,2021,2988408,630,4705.9,6 min 58 sec
Waterloo,2021,605232,1369,435,7 min 8 sec
Weeneebayko Area Health Authority,2021,17500,15000,1.2,6 min 10 sec
York,2021,1200262,1762,670.5,8 min 40 sec
Algoma,2020,43061,48587,0.9,8 min 11 sec
Beausoleil First Nation,2020,670,52,12.8,7 min 53 sec
Brant,2020,143975,936,153.9,6 min 35 sec
Bruce,2020,73069,4093,17.9,10 min 13 sec
Chatham-Kent,2020,106091,2471,42.9,6 min 23 sec
Chippewas of Rama First Nation,2020,861,11,80.5,5 min 9 sec
Cochrane,2020,76935,140566,0.5,5 min 59 sec
Cornwall,2020,118114,3309,35.7,8 min 29 sec
Dufferin,2020,67844,1486,45.6,6 min 40 sec
Durham,2020,697355,2524,276.3,6 min 38 sec
Elgin,2020,94922,1881,50.5,7 min 2 sec
Essex,2020,428556,1851,231.6,6 min 34 sec
Frontenac,2020,163937,3788,43.3,7 min 23 sec
Grey,2020,100303,4513,22.2,7 min 24 sec
Wellington,2020,241119,2660,90.6,7 min 2 sec
Haldimand,2020,50267,1257,40,7 min 45 sec
Haliburton,2020,19445,4072,4.8,12 min 28 sec
Halton,2020,596369,964,618.6,6 min 30 sec
Hamilton,2020,574263,1117,514,6 min 41 sec
Hastings,2020,145387,6103,23.8,8 min 16 sec
Huron,2020,62655,3400,18.4,8 min 6 sec
